sp_id	sp_gq_id	age	sex
940568463	450033909	79	M
939365366	450033909	55	F
939365365	450033909	55	F
940568464	450033909	78	M
940568465	450033909	84	M
940568466	450033909	67	M
940568467	450033909	82	M
940568468	450033909	70	M
940568469	450033909	88	M
940568470	450033909	76	M
940568471	450033909	73	M
940568472	450033909	69	M
940568473	450033909	81	M
940568474	450033909	86	M
940568475	450033909	77	M
940568476	450033909	77	M
940568477	450033909	87	M
940568478	450033909	89	M
940568479	450033909	77	M
940568480	450033909	86	M
940568481	450033909	87	M
939747604	450033909	76	F
939747603	450033909	87	F
939468599	450026868	90	F
939468620	450026868	89	F
939468619	450026868	86	F
939468618	450026868	78	F
939468617	450026868	81	F
939468616	450026868	83	F
939468615	450026868	83	F
939468614	450026868	83	F
939468613	450026868	82	F
939468612	450026868	79	F
939468611	450026868	97	F
939468610	450026868	80	F
939468609	450026868	93	F
939468608	450026868	87	F
939468607	450026868	100	F
939468606	450026868	78	F
939468605	450026868	93	F
939468604	450026868	99	F
939468603	450026868	76	F
939468602	450026868	69	F
939468601	450026868	99	F
939468600	450026868	85	F
939468598	450026868	65	F
939468597	450026868	86	F
939468596	450026868	74	F
939468595	450026868	84	F
939468594	450026868	86	F
939468593	450026868	87	F
939468592	450026868	77	F
939468591	450026868	86	F
939468590	450026868	80	F
939468589	450026868	89	F
939468588	450026868	81	F
939468587	450026868	89	F
939468586	450026868	75	F
939468585	450026868	80	F
939468584	450026868	93	F
939468583	450026868	68	F
939468582	450026868	81	F
939468581	450026868	66	F
939468580	450026868	82	F
939468579	450026868	78	F
939468578	450026868	98	F
939468577	450026868	89	F
939468576	450026868	75	F
939468575	450026868	90	F
939468574	450026868	88	F
939468573	450026868	90	F
939468572	450026868	85	F
939468571	450026868	97	F
939468570	450026868	80	F
939468569	450026868	97	F
939468568	450026868	75	F
939468567	450026868	86	F
939468566	450026868	96	F
939468565	450026868	88	F
939468564	450026868	86	F
939468563	450026868	94	F
939468562	450026868	71	F
939468561	450026868	79	F
939468560	450026868	85	F
939468559	450026868	80	F
939468558	450026868	70	F
939468557	450026868	85	F
939468556	450026868	76	F
939468555	450026868	94	F
939468554	450026868	87	F
939468553	450026868	86	F
939468552	450026868	76	F
939468551	450026868	83	F
939468550	450026868	89	F
939468549	450026868	66	F
939468548	450026868	100	F
939468547	450026868	86	F
939468546	450026868	76	F
939468545	450026868	92	F
939468544	450026868	84	F
939468543	450026868	85	F
940456788	450026868	68	M
940456789	450026868	71	M
940456806	450026868	85	M
940456805	450026868	73	M
940456804	450026868	88	M
940456803	450026868	81	M
940456802	450026868	82	M
940456801	450026868	69	M
940456800	450026868	85	M
940456799	450026868	65	M
940456798	450026868	82	M
940456797	450026868	99	M
940456796	450026868	82	M
940456795	450026868	91	M
940456794	450026868	99	M
940456793	450026868	69	M
940456792	450026868	79	M
940456791	450026868	81	M
940456790	450026868	84	M
941622356	450009566	32	M
941622354	450009566	31	M
941622353	450009566	31	M
941622352	450009566	60	M
941622351	450009566	24	M
941622350	450009566	55	M
941622349	450009566	38	M
941622348	450009566	49	M
941622347	450009566	46	M
941622346	450009566	31	M
941622345	450009566	29	M
941622344	450009566	29	M
941622343	450009566	37	M
941622342	450009566	22	M
941622341	450009566	19	M
941622340	450009566	28	M
941622339	450009566	31	M
941622338	450009566	20	M
941622337	450009566	49	M
941622336	450009566	34	M
941622335	450009566	20	M
941622334	450009566	32	M
941622333	450009566	30	M
941622332	450009566	58	M
941622329	450009566	16	M
941622330	450009566	36	M
941622331	450009566	47	M
941622359	450009566	28	M
941622358	450009566	45	M
941622357	450009566	35	M
941622355	450009566	27	M
941622368	450009566	43	M
941622367	450009566	23	M
941622366	450009566	21	M
941622365	450009566	45	M
941622364	450009566	28	M
941622363	450009566	21	M
941622362	450009566	53	M
941622361	450009566	20	M
941622360	450009566	24	M
941622372	450015617	53	F
941622371	450015617	36	F
941622370	450015617	34	F
941622369	450015617	37	F
939937630	450038520	83	F
939937631	450038520	88	F
939937632	450038520	100	F
939937633	450038520	86	F
939937634	450038520	85	F
939937635	450038520	88	F
939937636	450038520	89	F
939937576	450038520	69	F
939937577	450038520	82	F
939937578	450038520	88	F
939937579	450038520	86	F
939937580	450038520	89	F
939937571	450038520	88	F
939937572	450038520	84	F
939937573	450038520	100	F
939937574	450038520	79	F
939937581	450038520	90	F
939937582	450038520	87	F
939937583	450038520	98	F
939937584	450038520	90	F
939937585	450038520	104	F
939937586	450038520	85	F
939937587	450038520	80	F
939937588	450038520	72	F
939937589	450038520	92	F
939937575	450038520	86	F
939937590	450038520	89	F
939937591	450038520	89	F
939937592	450038520	87	F
939937593	450038520	88	F
939937594	450038520	87	F
939937595	450038520	103	F
939937596	450038520	66	F
939937597	450038520	89	F
939937598	450038520	70	F
939937599	450038520	86	F
939937600	450038520	94	F
939937637	450038520	87	F
940641619	450038520	104	M
940641620	450038520	86	M
940641621	450038520	82	M
939937570	450038520	75	F
939937569	450038520	102	F
939937568	450038520	85	F
939937567	450038520	76	F
940641622	450038520	83	M
940641623	450038520	83	M
940641624	450038520	69	M
940641625	450038520	87	M
940641626	450038520	89	M
940641627	450038520	86	M
940641628	450038520	74	M
940641630	450038520	81	M
940641629	450038520	84	M
940641631	450038520	86	M
940641632	450038520	72	M
940641633	450038520	90	M
940641634	450038520	66	M
940641635	450038520	86	M
940641636	450038520	90	M
939937601	450038520	86	F
939937602	450038520	95	F
939937603	450038520	88	F
939937604	450038520	75	F
939937605	450038520	88	F
939937606	450038520	88	F
939937607	450038520	86	F
939937608	450038520	76	F
939937609	450038520	65	F
939937610	450038520	78	F
939937611	450038520	78	F
939937612	450038520	87	F
939937613	450038520	75	F
939937614	450038520	82	F
939937615	450038520	93	F
939937616	450038520	89	F
939937617	450038520	79	F
939937618	450038520	94	F
940641637	450038520	65	M
939937560	450038520	77	F
939937561	450038520	81	F
939937562	450038520	69	F
939937563	450038520	73	F
939937564	450038520	87	F
939937565	450038520	77	F
939937566	450038520	75	F
939937619	450038520	88	F
939937620	450038520	90	F
939937621	450038520	78	F
939937622	450038520	99	F
939937623	450038520	88	F
939937624	450038520	79	F
939937625	450038520	91	F
939937626	450038520	73	F
939937627	450038520	79	F
939937628	450038520	84	F
939937629	450038520	89	F
937018408	450001000	19	M
937018407	450001000	21	M
937018406	450001000	19	M
937018405	450001000	18	M
937018404	450001000	19	M
937018403	450001000	18	M
937018402	450001000	20	M
937018401	450001000	20	M
937018400	450001000	22	M
937018399	450001000	21	M
937018398	450001000	22	M
937018397	450001000	23	M
937018396	450001000	19	M
937018395	450001000	24	M
937018394	450001000	21	M
937018393	450001000	18	M
937018392	450001000	21	M
937018391	450001000	22	M
937018390	450001000	22	M
937018389	450001000	18	M
937018388	450001000	18	M
937018387	450001000	18	M
937018386	450001000	20	M
937018385	450001000	23	M
937018384	450001000	22	M
937018383	450001000	23	M
937018382	450001000	19	M
937018381	450001000	19	M
937018380	450001000	18	M
937018652	450001000	18	F
937018651	450001000	19	F
937018650	450001000	18	F
937018649	450001000	24	F
937018648	450001000	18	F
937018647	450001000	18	F
937018646	450001000	18	F
937018645	450001000	24	F
937018644	450001000	22	F
937018643	450001000	23	F
937018642	450001000	21	F
937018717	450001000	20	F
937018718	450001000	18	F
937018719	450001000	26	F
937018720	450001000	19	F
937018641	450001000	18	F
937018640	450001000	20	F
937018639	450001000	20	F
937018638	450001000	18	F
937018637	450001000	24	F
937018636	450001000	20	F
937018635	450001000	21	F
937018634	450001000	19	F
937018633	450001000	19	F
937018632	450001000	24	F
937018631	450001000	19	F
937018630	450001000	23	F
937018629	450001000	19	F
937018628	450001000	19	F
937018627	450001000	19	F
937018626	450001000	23	F
937018625	450001000	20	F
937018624	450001000	18	F
937018623	450001000	19	F
937018622	450001000	54	F
937018621	450001000	18	F
937018620	450001000	20	F
937018619	450001000	19	F
937018618	450001000	22	F
937018617	450001000	24	F
937018616	450001000	23	F
937018615	450001000	19	F
937018614	450001000	18	F
937018613	450001000	23	F
937018612	450001000	24	F
937018611	450001000	19	F
937018610	450001000	22	F
937018609	450001000	18	F
937018512	450001000	18	M
937018511	450001000	19	M
937018510	450001000	22	M
937018509	450001000	19	M
937018508	450001000	24	M
937018507	450001000	22	M
937018506	450001000	19	M
937018505	450001000	22	M
937018504	450001000	24	M
937018503	450001000	19	M
937018502	450001000	19	M
937018501	450001000	21	M
937018500	450001000	22	M
937018499	450001000	19	M
937018498	450001000	22	M
937018497	450001000	19	M
937018496	450001000	18	M
937018495	450001000	21	M
937018494	450001000	22	M
937018493	450001000	20	M
937018492	450001000	22	M
937018491	450001000	19	M
937018490	450001000	19	M
937018489	450001000	19	M
937018488	450001000	40	M
937018487	450001000	20	M
937018486	450001000	24	M
937018485	450001000	21	M
937018484	450001000	19	M
937018483	450001000	22	M
937018482	450001000	22	M
937018481	450001000	19	M
937018480	450001000	19	M
937018479	450001000	24	M
937018478	450001000	19	M
937018477	450001000	18	M
937018476	450001000	18	M
937018475	450001000	22	M
937018474	450001000	19	M
937018473	450001000	19	M
937018472	450001000	20	M
937018471	450001000	19	M
937018470	450001000	23	M
937018469	450001000	19	M
937018468	450001000	18	M
937018467	450001000	19	M
937018466	450001000	19	M
937018465	450001000	20	M
937018464	450001000	18	M
937018463	450001000	19	M
937018462	450001000	23	M
937018461	450001000	22	M
937018460	450001000	19	M
937018459	450001000	20	M
937018458	450001000	18	M
937018457	450001000	19	M
937018456	450001000	19	M
937018455	450001000	19	M
937018454	450001000	18	M
937018453	450001000	23	M
937018452	450001000	19	M
937018451	450001000	19	M
937018450	450001000	18	M
937018449	450001000	35	M
937018448	450001000	22	M
937018447	450001000	21	M
937018446	450001000	19	M
937018445	450001000	19	M
937018444	450001000	22	M
937018443	450001000	31	M
937018442	450001000	18	M
937018441	450001000	22	M
937018440	450001000	19	M
937018439	450001000	19	M
937018438	450001000	21	M
937018437	450001000	24	M
937018436	450001000	20	M
937018435	450001000	33	M
937018434	450001000	18	M
937018433	450001000	21	M
937018432	450001000	18	M
937018431	450001000	18	M
937018430	450001000	23	M
937018429	450001000	31	M
937018428	450001000	18	M
937018427	450001000	18	M
937018426	450001000	18	M
937018425	450001000	22	M
937018424	450001000	26	M
937018423	450001000	18	M
937018422	450001000	23	M
937018421	450001000	20	M
937018420	450001000	19	M
937018707	450001000	20	F
937018706	450001000	19	F
937018705	450001000	21	F
937018704	450001000	21	F
937018703	450001000	23	F
937018702	450001000	19	F
937018701	450001000	18	F
937018700	450001000	19	F
937018699	450001000	19	F
937018698	450001000	19	F
937018697	450001000	19	F
937018653	450001000	20	F
937018654	450001000	19	F
937018655	450001000	23	F
937018708	450001000	19	F
937018709	450001000	19	F
937018710	450001000	19	F
937018711	450001000	19	F
937018712	450001000	18	F
937018713	450001000	21	F
937018714	450001000	19	F
937018656	450001000	19	F
937018657	450001000	19	F
937018658	450001000	18	F
937018659	450001000	20	F
937018715	450001000	19	F
937018660	450001000	22	F
937018661	450001000	22	F
937018662	450001000	23	F
937018663	450001000	21	F
937018664	450001000	19	F
937018665	450001000	24	F
937018696	450001000	24	F
937018695	450001000	19	F
937018694	450001000	19	F
937018693	450001000	21	F
937018692	450001000	18	F
937018691	450001000	19	F
937018690	450001000	18	F
937018689	450001000	21	F
937018688	450001000	18	F
937018687	450001000	22	F
937018686	450001000	20	F
937018685	450001000	19	F
937018684	450001000	18	F
937018683	450001000	21	F
937018682	450001000	22	F
937018681	450001000	20	F
937018680	450001000	18	F
937018679	450001000	24	F
937018678	450001000	24	F
937018666	450001000	19	F
937018667	450001000	21	F
937018668	450001000	19	F
937018669	450001000	18	F
937018670	450001000	19	F
937018671	450001000	18	F
937018672	450001000	19	F
937018673	450001000	19	F
937018674	450001000	22	F
937018675	450001000	19	F
937018676	450001000	19	F
937018677	450001000	19	F
937018419	450001000	18	M
937018418	450001000	24	M
937018417	450001000	21	M
937018416	450001000	23	M
937018415	450001000	20	M
937018414	450001000	18	M
937018716	450001000	25	F
937018413	450001000	18	M
937018412	450001000	18	M
937018411	450001000	23	M
937018410	450001000	18	M
937018409	450001000	21	M
937018608	450001000	23	F
937018379	450001000	19	M
937018607	450001000	22	F
937018378	450001000	19	M
937018606	450001000	18	F
937018605	450001000	21	F
937018604	450001000	20	F
937018603	450001000	19	F
937018602	450001000	19	F
937018601	450001000	20	F
937018600	450001000	19	F
937018599	450001000	18	F
937018598	450001000	18	F
937018597	450001000	23	F
937018596	450001000	19	F
937018595	450001000	18	F
937018594	450001000	19	F
937018593	450001000	18	F
937018592	450001000	22	F
937018591	450001000	24	F
937018590	450001000	19	F
937018589	450001000	20	F
937018588	450001000	23	F
937018587	450001000	20	F
937018586	450001000	20	F
937018585	450001000	23	F
937018584	450001000	19	F
937018583	450001000	19	F
937018582	450001000	18	F
937018581	450001000	21	F
937018580	450001000	22	F
937018579	450001000	21	F
937018578	450001000	19	F
937018577	450001000	20	F
937018576	450001000	18	F
937018575	450001000	20	F
937018574	450001000	19	F
937018573	450001000	22	F
937018377	450001000	19	M
937018376	450001000	19	M
937018375	450001000	18	M
937018374	450001000	24	M
937018373	450001000	19	M
937018572	450001000	20	F
937018571	450001000	24	F
937018570	450001000	22	F
937018569	450001000	18	F
937018568	450001000	19	F
937018567	450001000	23	F
937018566	450001000	19	F
937018565	450001000	19	F
937018564	450001000	19	F
937018563	450001000	19	F
937018562	450001000	19	F
937018561	450001000	19	F
937018560	450001000	20	F
937018559	450001000	22	F
937018558	450001000	18	F
937018557	450001000	19	F
937018556	450001000	18	F
937018555	450001000	19	F
937018554	450001000	20	F
937018553	450001000	19	F
937018552	450001000	21	F
937018551	450001000	21	F
937018550	450001000	19	F
937018549	450001000	21	F
937018548	450001000	19	F
937018547	450001000	19	F
937018546	450001000	18	F
937018545	450001000	19	F
937018544	450001000	18	F
937018543	450001000	21	F
937018542	450001000	22	F
937018541	450001000	21	F
937018540	450001000	19	F
937018539	450001000	24	F
937018538	450001000	18	F
937018537	450001000	18	F
937018536	450001000	19	F
937018535	450001000	19	F
937018534	450001000	20	F
937018533	450001000	19	F
937018721	450001000	19	F
937018722	450001000	19	F
937018723	450001000	22	F
937018532	450001000	21	F
937018531	450001000	22	F
937018530	450001000	29	F
937018529	450001000	18	F
937018528	450001000	22	F
937018527	450001000	19	F
937018526	450001000	23	F
937018525	450001000	17	F
937018524	450001000	18	M
937018523	450001000	19	M
937018522	450001000	19	M
937018521	450001000	26	M
937018520	450001000	19	M
937018519	450001000	18	M
937018518	450001000	23	M
937018517	450001000	21	M
937018516	450001000	24	M
937018515	450001000	18	M
937018514	450001000	24	M
937018372	450001000	18	M
937018371	450001000	20	M
937018370	450001000	19	M
937018369	450001000	19	M
937018368	450001000	21	M
937018367	450001000	23	M
937018366	450001000	18	M
937018365	450001000	18	M
937018364	450001000	23	M
937018363	450001000	18	M
937018362	450001000	20	M
937018361	450001000	24	M
937018360	450001000	18	M
937018359	450001000	18	M
937018358	450001000	19	M
937018357	450001000	19	M
937018356	450001000	18	M
937018355	450001000	20	M
937018354	450001000	19	M
937018513	450001000	18	M
939365427	450033910	52	F
939365426	450033910	48	F
939365425	450033910	52	F
940339023	450033910	50	M
939367524	450033910	52	F
940339027	450033910	59	M
940339028	450033910	61	M
940339029	450033910	59	M
940339030	450033910	35	M
940339031	450033910	27	M
940339032	450033910	43	M
940339033	450033910	57	M
939748017	450033910	80	F
939748016	450033910	103	F
939748015	450033910	83	F
939365431	450033910	63	F
939365432	450033910	37	F
939365433	450033910	39	F
939365434	450033910	40	F
939365435	450033910	60	F
939365436	450033910	55	F
939365437	450033910	47	F
939365438	450033910	22	F
940339022	450033910	58	M
939748014	450033910	89	F
939748013	450033910	80	F
939748012	450033910	72	F
939748011	450033910	87	F
939748010	450033910	82	F
939748009	450033910	88	F
939748008	450033910	89	F
939748007	450033910	66	F
939748006	450033910	84	F
939748005	450033910	81	F
939748004	450033910	85	F
939748003	450033910	76	F
940339021	450033910	49	M
940339020	450033910	63	M
939367523	450033910	63	F
940339034	450033910	49	M
940339019	450033910	60	M
939748002	450033910	75	F
939748001	450033910	75	F
939748000	450033910	100	F
939747999	450033910	75	F
939747998	450033910	78	F
939747997	450033910	93	F
939747996	450033910	83	F
939747995	450033910	85	F
939747994	450033910	76	F
939747993	450033910	70	F
939747992	450033910	70	F
939747991	450033910	90	F
939747990	450033910	71	F
939747989	450033910	67	F
939747988	450033910	83	F
940339018	450033910	44	M
940339017	450033910	50	M
939365611	450033910	53	F
940339016	450033910	62	M
940339025	450033910	54	M
940339026	450033910	27	M
939365429	450033910	60	F
939365428	450033910	36	F
940568612	450033910	87	M
940568611	450033910	72	M
940568610	450033910	75	M
940568609	450033910	83	M
940568608	450033910	87	M
940568607	450033910	77	M
940568606	450033910	77	M
940568613	450033910	84	M
939365430	450033910	57	F
940568614	450033910	78	M
940568615	450033910	84	M
940568616	450033910	67	M
940568617	450033910	77	M
940568618	450033910	88	M
940568605	450033910	79	M
940568604	450033910	82	M
940568603	450033910	69	M
940568602	450033910	96	M
940568601	450033910	77	M
940339024	450033910	54	M
940022896	450040765	90	F
940022897	450040765	95	F
940022910	450040765	84	F
940674952	450040765	82	M
940674951	450040765	71	M
940674950	450040765	90	M
940674949	450040765	75	M
940674948	450040765	104	M
940674947	450040765	90	M
940674946	450040765	73	M
940674945	450040765	73	M
940674944	450040765	89	M
940674943	450040765	69	M
940674942	450040765	78	M
940674941	450040765	65	M
940674940	450040765	83	M
940674939	450040765	78	M
940674938	450040765	79	M
940674937	450040765	76	M
940674936	450040765	73	M
940674935	450040765	75	M
940022909	450040765	79	F
940022908	450040765	86	F
940022907	450040765	85	F
940022906	450040765	72	F
940022905	450040765	96	F
940022898	450040765	75	F
940377024	450040765	58	M
940377023	450040765	57	M
940377022	450040765	58	M
940377021	450040765	26	M
940377020	450040765	55	M
940377019	450040765	62	M
940377018	450040765	61	M
940377017	450040765	46	M
940377016	450040765	63	M
940377015	450040765	55	M
940377014	450040765	36	M
940377013	450040765	61	M
940377012	450040765	47	M
940377011	450040765	64	M
940377010	450040765	53	M
940377009	450040765	58	M
940377008	450040765	54	M
940377007	450040765	48	M
940022899	450040765	95	F
940022904	450040765	88	F
940022903	450040765	98	F
940022902	450040765	75	F
939329108	450040765	34	F
939329107	450040765	45	F
939329106	450040765	49	F
939329105	450040765	64	F
939329104	450040765	62	F
940022901	450040765	89	F
940022900	450040765	75	F
940022914	450040765	91	F
940022918	450040765	91	F
940022917	450040765	88	F
940377006	450040765	47	M
940022916	450040765	86	F
940022915	450040765	87	F
940022913	450040765	78	F
940022912	450040765	72	F
940022911	450040765	77	F
939329103	450040765	44	F
939329102	450040765	48	F
939329116	450040765	59	F
939329115	450040765	56	F
939329114	450040765	46	F
939329113	450040765	53	F
939329112	450040765	40	F
939329111	450040765	51	F
939329110	450040765	57	F
939329109	450040765	59	F
939329101	450040765	39	F
939329100	450040765	43	F
940022889	450040765	89	F
940022890	450040765	84	F
940022891	450040765	101	F
940022892	450040765	85	F
940022893	450040765	89	F
940022894	450040765	97	F
940022895	450040765	83	F
