sp_id	sp_hh_id	age	sex	race	relate	school_id	work_id
165456304	72770661	50	M	1	0	X	506091779
165456307	72776764	49	F	1	1	X	506102010
165456309	72771083	49	F	1	1	X	506098667
165644854	72778635	79	F	1	0	X	X
165644856	72771229	79	F	1	0	X	X
165800638	72779044	44	F	1	1	X	506105688
165800644	72779767	10	F	1	2	450122221	X
165800645	72779767	13	F	1	2	450122221	X
165800648	72774210	10	F	1	2	450152429	X
165800649	72774210	13	F	1	2	450152429	X
165800650	72774862	44	F	1	1	X	506103400
165800651	72774862	44	M	1	0	X	506099005
165800654	72772751	44	F	1	1	X	506111752
165800657	72772751	13	F	1	2	450141197	X
166314839	72780580	53	F	1	0	X	X
166384688	72777551	51	M	1	0	X	506103365
166384689	72777551	19	M	1	2	X	X
166384690	72777551	22	F	1	2	X	506110965
166396952	72777864	61	F	1	0	X	506111453
166396953	72774326	61	F	1	0	X	506102994
166396956	72776444	61	F	1	0	X	506103457
166453627	72780472	69	F	1	1	X	X
166523608	72782600	32	M	1	0	X	506098626
166577152	72775636	59	M	1	0	X	506106845
166577156	72775743	59	M	1	0	X	506103875
166577157	72775743	58	F	1	1	X	506166444
166620593	72779029	51	M	1	0	X	506099437
166620596	72779621	51	M	1	0	X	506101037
166620599	72773140	51	M	1	0	X	506099034
166620604	72769601	51	M	1	0	X	506171804
166620609	72768830	51	M	1	0	X	506168119
166677077	72780911	51	F	1	1	X	506095014
166677078	72780911	12	F	1	2	450122221	X
166677099	72780801	12	F	1	2	450141197	X
166677100	72780801	52	M	1	0	X	506098957
166796533	72782301	12	M	9	2	450122221	X
166796536	72782301	52	F	2	0	X	X
166846823	72781338	45	M	1	0	X	506095569
166969798	72771463	55	F	1	0	X	506102482
166969799	72771463	59	M	1	1	X	X
166969806	72773203	55	F	1	0	X	506099954
166969807	72773203	59	M	1	1	X	X
166969810	72776923	55	F	1	0	X	506099977
166969814	72782381	55	F	1	0	X	506093126
166969819	72769908	59	M	1	1	X	X
166969824	72781505	55	F	1	0	X	506100457
166969825	72781505	59	M	1	1	X	X
166969834	72779073	55	F	1	0	X	506101417
167000930	72771951	62	M	1	0	X	X
167000931	72771951	61	F	6	1	X	506108829
167000950	72779358	62	M	1	0	X	X
167000951	72779358	61	F	6	1	X	506105852
167000958	72774392	62	M	1	0	X	X
167000963	72780462	61	F	6	1	X	506097433
167012387	72780966	62	M	1	0	X	X
167012406	72771385	62	M	1	0	X	X
167012412	72780234	62	M	1	0	X	X
167012420	72778794	62	M	1	0	X	X
167012423	72770146	62	M	1	0	X	X
167016887	72779184	28	M	1	0	X	506098038
167016916	72770810	3	F	1	2	X	X
167195867	72773606	54	M	1	1	X	506099404
167195868	72774197	51	F	1	0	X	506106845
167195869	72774197	54	M	1	1	X	506106468
167195874	72774170	51	F	1	0	X	506103422
167195875	72774170	54	M	1	1	X	506099007
167382605	72776295	24	M	1	2	X	506105436
167382607	72776295	66	M	1	1	X	X
167382611	72781848	24	M	1	2	X	506093204
167382618	72777868	64	F	1	0	X	X
167382624	72772163	64	F	1	0	X	X
167382633	72780643	64	F	1	0	X	X
167382634	72780643	66	M	1	1	X	X
167382652	72769949	66	M	1	1	X	X
167382658	72774300	66	M	1	1	X	X
167389344	72773127	39	F	1	1	X	506098266
167389345	72772214	10	M	1	2	450141197	X
167389347	72772214	39	F	1	1	X	506101295
167389362	72771046	39	F	1	1	X	506097426
167389365	72773492	39	F	1	1	X	506098903
167594910	72779189	44	M	1	2	X	506101349
167594911	72779189	67	F	1	0	X	506097808
167594912	72779189	47	M	1	2	X	X
167652320	72770465	52	M	1	0	X	506098839
167933645	72782630	51	F	1	1	X	506168817
167933647	72773961	51	F	1	1	X	506105758
167933648	72773961	52	M	1	0	X	506110019
167933652	72780637	52	M	1	0	X	506102203
167933657	72773697	51	F	1	1	X	506110692
167933658	72773697	52	M	1	0	X	506102482
167933667	72773642	51	F	1	1	X	506105852
168023836	72772021	66	M	1	0	X	X
168023844	72771848	66	M	1	0	X	X
168023849	72778315	65	F	1	1	X	506098113
168023850	72778315	66	M	1	0	X	X
168023852	72779631	66	M	1	0	X	X
168023856	72773345	66	M	1	0	X	X
168150356	72773195	37	M	1	0	X	506099160
168150358	72773195	10	M	1	2	450053385	X
168150376	72780858	37	M	1	0	X	506095509
168150377	72780858	6	F	1	2	450126098	X
168150378	72780858	10	M	1	2	450053385	X
168150389	72777265	3	M	1	2	450152429	X
168150390	72777265	32	F	1	1	X	506102010
168150391	72777265	37	M	1	0	X	506099215
168150392	72777265	6	F	1	2	450152429	X
168150393	72777265	10	M	1	2	450064747	X
168286282	72782593	44	M	1	0	X	506094602
168286287	72773314	15	F	1	2	450141198	X
168286302	72777536	15	F	1	2	450122219	X
168286311	72777371	15	F	1	2	450141198	X
168286312	72777371	44	M	1	0	X	506102067
168506236	72779868	40	F	1	1	X	506166447
168506243	72768778	40	M	1	0	X	506098065
168506247	72777296	40	M	1	0	X	506625636
168506253	72778616	40	M	1	0	X	506107938
168506267	72778130	40	M	1	0	X	506106845
168506284	72773944	40	F	1	1	X	506102067
168506308	72781209	40	F	1	1	X	506095653
168506309	72781209	40	M	1	0	X	506094674
168506324	72775539	40	F	1	1	X	506111457
168506336	72780013	40	F	1	1	X	506096930
168506337	72780013	40	M	1	0	X	506094284
168506338	72779777	40	F	1	1	X	506100457
168506339	72779777	40	M	1	0	X	506098706
168562091	72780828	13	M	6	2	450122221	X
168562092	72780828	12	F	6	2	450122221	X
168562094	72780828	50	M	6	0	X	506095014
168562097	72770163	12	F	6	2	450152507	X
168562098	72770163	20	M	6	7	X	X
168562099	72770163	50	M	6	0	X	506171804
168562121	72774402	13	M	6	2	450125489	X
168562124	72774402	50	M	6	0	X	506102708
168562127	72770257	12	F	6	2	450152507	X
168562129	72770257	50	M	6	0	X	506105109
168562131	72770155	13	M	6	2	450141197	X
168562137	72769344	12	F	6	2	450138075	X
168562138	72769344	20	M	6	7	X	X
168562148	72774378	20	M	6	7	X	X
168562149	72774378	50	M	6	0	X	506100457
168562152	72780581	12	F	6	2	450122221	X
168562160	72774983	51	F	6	1	X	X
168562162	72774983	12	F	6	2	450141197	X
168562164	72774983	50	M	6	0	X	506109752
168562178	72770194	20	M	6	7	X	X
168562181	72776060	13	M	6	2	450125489	X
168562184	72776060	50	M	6	0	X	506102067
168893568	72773663	35	M	1	0	X	506099034
168893569	72773663	35	F	1	1	X	X
168893571	72777983	4	M	1	2	450066968	X
168893572	72777983	35	M	1	0	X	506108754
168893575	72774808	4	M	1	2	450064747	X
168893576	72774808	35	M	1	0	X	506107844
168893578	72774808	7	M	1	2	X	X
168893596	72773954	35	M	1	0	X	506102067
168893598	72773954	7	M	1	2	X	X
168893610	72769773	7	M	1	2	X	X
168893615	72776018	4	M	1	2	450066968	X
168893616	72776018	35	M	1	0	X	506166708
168893619	72773994	4	M	1	2	450066968	X
168893621	72773994	35	F	1	1	X	X
168893622	72773994	7	M	1	2	X	X
168893623	72772519	4	M	1	2	450066968	X
168893624	72772519	35	M	1	0	X	506099033
168893626	72772519	7	M	1	2	X	X
168893631	72774644	4	M	1	2	450064747	X
168893632	72774644	35	M	1	0	X	506107817
168893633	72774644	35	F	1	1	X	X
168893635	72776903	4	M	1	2	450060420	X
168893636	72776903	35	M	1	0	X	506168310
168893638	72776903	7	M	1	2	X	X
169045975	72776665	14	M	1	2	450152429	X
169045977	72776665	51	M	1	1	X	506105672
169045978	72776665	45	F	1	0	X	X
169045987	72780829	14	M	1	2	450122221	X
169045990	72780829	45	F	1	0	X	X
169046020	72769785	10	F	1	2	450123089	X
169046022	72769785	45	F	1	0	X	X
169046031	72770838	14	M	1	2	450122221	X
169046033	72770838	51	M	1	1	X	506098211
169046035	72780143	14	M	1	2	450141197	X
169046036	72780143	10	F	1	2	450116183	X
169046037	72780143	51	M	1	1	X	506100329
169046038	72780143	45	F	1	0	X	X
169046042	72774655	45	F	1	0	X	X
169046043	72774564	14	M	1	2	450125489	X
169046044	72774564	10	F	1	2	450125489	X
169046046	72774564	45	F	1	0	X	X
169087063	72775175	74	F	1	0	X	X
169087066	72779345	43	M	1	2	X	506099149
169087067	72779345	74	F	1	0	X	X
169087073	72771131	74	F	1	0	X	X
169087076	72778478	43	M	1	2	X	506098651
169117783	72773251	42	F	1	1	X	506105172
169406887	72777245	28	F	1	1	X	506112882
169406889	72772340	28	F	1	1	X	506110454
169454114	72782149	3	M	1	2	X	X
169454132	72772967	3	M	1	2	X	X
169454133	72772967	27	F	1	0	X	506092332
169544106	72770219	56	M	1	2	X	X
169544108	72778445	56	M	1	2	X	X
169544109	72778468	93	F	1	0	X	X
169544113	72772120	93	F	1	0	X	X
169544114	72772120	56	M	1	2	X	X
169564733	72769195	6	F	1	5	450066968	X
169564736	72769195	57	F	1	1	X	X
169564737	72768654	6	F	1	5	450066968	X
169564738	72768654	30	F	1	2	X	X
169564739	72768654	58	M	1	0	X	X
169564741	72777880	6	F	1	5	450053385	X
169564742	72777880	30	F	1	2	X	X
169564743	72777880	58	M	1	0	X	X
169564750	72773699	30	F	1	2	X	X
169564752	72773699	57	F	1	1	X	X
169564755	72770409	58	M	1	0	X	X
169564756	72770409	57	F	1	1	X	X
169564777	72781059	6	F	1	5	450053385	X
169564778	72781059	30	F	1	2	X	X
169564779	72781059	58	M	1	0	X	X
169564805	72779264	6	F	1	5	450053385	X
169564814	72780335	30	F	1	2	X	X
169564816	72780335	57	F	1	1	X	X
169573198	72775414	68	F	1	0	X	X
169573200	72778297	68	F	1	0	X	X
169573204	72781640	68	F	1	0	X	X
169573217	72775325	68	F	1	0	X	X
169921526	72774110	6	F	1	2	450125488	X
169921527	72774110	36	M	1	1	X	506102989
169921529	72774110	37	F	1	0	X	X
169921534	72770862	6	F	1	2	450117870	X
169921535	72770862	36	M	1	1	X	506098016
169921537	72770862	37	F	1	0	X	X
169921569	72772790	37	F	1	0	X	X
169921588	72776322	4	F	1	2	X	X
169921589	72776322	37	F	1	0	X	X
169921610	72777625	6	F	1	2	450117870	X
169921612	72777625	4	F	1	2	X	X
169921614	72781022	6	F	1	2	450132407	X
169946804	72782567	45	F	1	1	X	506096377
169946807	72782567	3	F	1	2	450066968	X
169946817	72775365	3	F	1	2	450066968	X
169946818	72775365	42	M	1	0	X	506109814
169946832	72772599	3	F	1	2	450066968	X
169946845	72776422	17	F	1	2	450141198	X
169946846	72776422	14	M	1	2	450152429	X
169946847	72776422	3	F	1	2	450064747	X
169946848	72776422	42	M	1	0	X	506099551
169946854	72773745	45	F	1	1	X	506098733
169946856	72773745	14	M	1	2	450141197	X
169946857	72773745	3	F	1	2	450066968	X
169946858	72773745	42	M	1	0	X	506108811
169946862	72768776	3	F	1	2	450060420	X
169946864	72780680	45	F	1	1	X	506097442
169946865	72780680	17	F	1	2	450122219	X
169946866	72780680	14	M	1	2	450122221	X
169946867	72780680	3	F	1	2	450066968	X
170050370	72781373	62	M	1	0	X	X
170050376	72769283	62	M	1	0	X	X
170050378	72774669	62	M	1	0	X	X
170050384	72771095	62	M	1	0	X	X
170070692	72775750	19	M	1	2	X	506105847
170070693	72775750	42	M	1	0	X	506105794
170070695	72775750	16	M	1	2	450141198	506102067
170070707	72772940	19	M	1	2	X	506104615
170070709	72772940	43	F	1	1	X	506098161
170070711	72772940	17	M	1	2	450141198	506103627
170070712	72779806	19	M	1	2	X	506098042
170070713	72779806	42	M	1	0	X	506102090
170070714	72779806	43	F	1	1	X	506098066
170070716	72779806	17	M	1	2	450121290	506099215
170188268	72777580	54	F	1	0	X	506098602
170188281	72774617	35	M	1	3	X	X
170188282	72774617	54	F	1	0	X	506102067
170188289	72772428	35	M	1	3	X	X
170188295	72774959	35	M	1	3	X	X
170188301	72769811	35	M	1	3	X	X
170188302	72769811	54	F	1	0	X	506168471
170347301	72774784	2	F	1	2	X	X
170347303	72774784	40	M	1	0	X	506099007
170347314	72775504	35	F	1	1	X	506102067
170347315	72775504	40	M	1	0	X	506114219
170347338	72775796	35	F	1	1	X	506103098
170347339	72775796	40	M	1	0	X	506110475
170347352	72778636	2	F	1	2	X	X
170347356	72774691	35	F	1	1	X	506112308
170347357	72774691	40	M	1	0	X	506105157
170347362	72780661	35	F	1	1	X	506114144
170347367	72775911	2	F	1	2	X	X
170347373	72774652	2	F	1	2	X	X
170347374	72774652	35	F	1	1	X	506103424
170347375	72774652	40	M	1	0	X	506111696
170347376	72777872	2	F	1	2	X	X
170347377	72777872	35	F	1	1	X	506100936
170347378	72777872	40	M	1	0	X	506098124
170347384	72774079	40	M	1	0	X	506102991
170347386	72770990	35	F	1	1	X	506098241
170347387	72770990	40	M	1	0	X	506099738
170347391	72774654	2	F	1	2	X	X
170347392	72774654	35	F	1	1	X	506109544
170347393	72774654	40	M	1	0	X	506103576
170347398	72779807	35	F	1	1	X	506166536
170347399	72779807	40	M	1	0	X	506098147
170351316	72776717	12	F	1	2	450152429	X
170351317	72776717	47	F	1	0	X	506103473
170351322	72776911	12	F	1	2	450125489	X
170351323	72776911	47	F	1	0	X	506166444
170351340	72774097	12	F	1	2	450141197	X
170351342	72770130	26	M	1	2	X	X
170351343	72770130	12	F	1	2	450152507	X
170351344	72770130	47	F	1	0	X	506098212
170351348	72778236	26	M	1	2	X	X
170351350	72778236	47	F	1	0	X	506095138
170351353	72775092	47	F	1	0	X	506110385
170351371	72780286	47	F	1	0	X	506101565
170351401	72773240	47	F	1	0	X	506099536
170351404	72781726	47	F	1	0	X	506097642
170588002	72776168	41	F	1	2	X	X
170588004	72776954	41	M	1	2	X	X
170588006	72776954	68	F	1	0	X	X
170588900	72773613	2	M	1	2	X	X
170588902	72773613	24	F	1	0	X	506098928
170588931	72768828	30	M	1	1	X	506168842
170588932	72768828	24	F	1	0	X	506103355
170588934	72777058	30	M	1	1	X	506099738
170588937	72781312	30	M	1	1	X	506096759
170639311	72770984	51	F	1	0	X	506098798
170693214	72769687	69	F	1	0	X	X
170693224	72777945	69	F	1	0	X	X
170693232	72774671	69	F	1	0	X	X
170693233	72780069	68	M	1	1	X	X
170693234	72780069	69	F	1	0	X	X
170693240	72771001	69	F	1	0	X	X
170693243	72771942	68	M	1	1	X	X
170693246	72777373	69	F	1	0	X	X
170693253	72777378	68	M	1	1	X	X
170693254	72777378	69	F	1	0	X	X
170806756	72768708	39	F	1	0	X	506114490
170806759	72768708	11	M	1	2	450138075	X
170806766	72777660	39	F	1	0	X	506099236
170806769	72777660	11	M	1	2	450122221	X
170806780	72772420	2	F	1	2	X	X
170806781	72772420	39	F	1	0	X	506102047
170806790	72769741	2	F	1	2	X	X
170806794	72769741	11	M	1	2	450152507	X
171010722	72782440	41	F	1	0	X	506102482
171010723	72782440	17	F	1	2	450121290	506095014
171159794	72779550	5	F	9	2	450141197	X
171159795	72779550	6	M	8	2	450123089	X
171159796	72779550	2	F	9	2	X	X
171159798	72779550	27	F	9	1	X	X
171159799	72779550	11	F	9	2	450123089	X
171159814	72779855	34	M	1	0	X	X
171159815	72779855	5	F	9	2	450126098	X
171159817	72779855	2	F	9	2	X	X
171159820	72779855	11	F	9	2	450132407	X
171159821	72772175	34	M	1	0	X	X
171159824	72772175	2	F	9	2	X	X
171159826	72772175	27	F	9	1	X	X
171159827	72772175	11	F	9	2	450141197	X
171181227	72777001	8	F	1	2	450152429	X
171181235	72775280	34	M	1	1	X	506108632
171181236	72775280	8	F	1	2	450125488	X
171181237	72775280	32	F	1	0	X	506105328
171181242	72774006	8	F	1	2	450141197	X
171181244	72773906	34	M	1	1	X	506109757
171181247	72775649	34	M	1	1	X	506099982
171181248	72775649	8	F	1	2	450125488	X
171181259	72772379	34	M	1	1	X	506103365
171181261	72772379	32	F	1	0	X	506108705
171181265	72769288	34	M	1	1	X	506168704
171181266	72769288	8	F	1	2	450138075	X
171181271	72775096	34	M	1	1	X	506099492
171181273	72775096	32	F	1	0	X	506103576
171181276	72782557	32	F	1	0	X	506097389
171181294	72775595	32	F	1	0	X	506105425
171181304	72777132	34	M	1	1	X	506102010
171181310	72775479	34	M	1	1	X	506099465
171181311	72775479	8	F	1	2	450125488	X
171181312	72775479	32	F	1	0	X	506102067
171181313	72780820	34	M	1	1	X	506094947
171181314	72780820	8	F	1	2	450141197	X
171181317	72779430	8	F	1	2	450117870	X
171246180	72780935	23	F	1	2	X	506108310
171246184	72769036	23	F	1	2	X	506168472
171246187	72769036	4	F	8	7	450123089	X
171246189	72780490	49	M	1	0	X	506102165
171246190	72780490	65	F	1	1	X	X
171246209	72781001	49	M	1	0	X	506090986
171246211	72781001	4	F	8	7	450132407	X
171306351	72772131	60	M	1	4	X	X
171306353	72772131	9	M	1	2	450066968	X
171306355	72772131	30	M	1	10	X	506098841
171306393	72768661	60	M	1	4	X	X
171306395	72768661	9	M	1	2	450066968	X
171306396	72768661	11	F	1	2	450066968	X
171871691	72777619	0	F	1	2	X	X
171871692	72777619	35	F	1	1	X	506105216
171871694	72777619	1	M	1	2	X	X
171874610	72779525	44	F	1	0	X	506096578
171874630	72769086	44	F	1	0	X	506103221
171909575	72780834	48	F	1	0	X	506091899
171909577	72780834	17	M	1	2	450122219	506099322
171909584	72774013	48	F	1	0	X	506103248
171909585	72774013	44	M	1	1	X	506102393
171909586	72774013	17	M	1	2	450141198	506109757
171909593	72770067	48	F	1	0	X	506171015
171909597	72781978	44	M	1	1	X	506096373
171909598	72781978	17	M	1	2	450121290	506093849
171909609	72774569	44	M	1	1	X	506102067
171909610	72774569	17	M	1	2	450141198	506102067
171909611	72777616	48	F	1	0	X	506099462
171909612	72777616	44	M	1	1	X	506098672
171909615	72773815	44	M	1	1	X	506100165
171909616	72773815	17	M	1	2	450141198	506102067
171909618	72780292	44	M	1	1	X	506098016
171909627	72773901	44	M	1	1	X	506099031
171909628	72773901	17	M	1	2	450141198	506105333
171909642	72770170	44	M	1	1	X	506096859
171909643	72770170	17	M	1	2	450123091	506096428
171909650	72776122	48	F	1	0	X	506110591
171909651	72776122	44	M	1	1	X	506102067
171909652	72776122	17	M	1	2	450141198	506106845
171914110	72768541	10	M	1	2	450138076	X
171914112	72773365	39	F	1	0	X	X
171914113	72773365	10	M	1	2	450141197	X
171914126	72781015	16	F	1	2	450121290	X
171914136	72773292	39	F	1	0	X	X
171914145	72774682	39	F	1	0	X	X
171914146	72774682	10	M	1	2	450125489	X
171914147	72774682	16	F	1	2	450141198	X
171914149	72779706	10	M	1	2	450122221	X
171914150	72779706	16	F	1	2	450122219	X
172171064	72778835	65	F	1	0	X	X
172197627	72778497	93	F	1	0	X	X
172197633	72780012	93	F	1	0	X	X
172287909	72777324	32	F	1	1	X	506105157
172287910	72777324	33	M	1	0	X	506161445
172287911	72777324	3	M	1	2	450152429	X
172287912	72777458	32	F	1	1	X	506097808
172287915	72775819	32	F	1	1	X	506102712
172287916	72775819	33	M	1	0	X	506103085
172287929	72772464	3	M	1	2	450141197	X
172312769	72771246	48	F	1	1	X	506103365
172312776	72774811	59	M	1	0	X	506103942
172312786	72772710	59	M	1	0	X	506106126
172312787	72775908	48	F	1	1	X	506103111
172312788	72775908	59	M	1	0	X	506100559
172385055	72781305	48	F	1	1	X	506097755
172385056	72781305	53	M	1	0	X	506097755
172428801	72779941	18	F	1	2	450122219	506097318
172428806	72776002	46	M	1	0	X	506102067
172428807	72773837	18	F	1	2	450121290	506104300
172428809	72773837	46	M	1	0	X	506109060
172480980	72776387	60	M	1	0	X	506102994
172512881	72773228	45	F	1	1	X	506102711
172512889	72774203	45	F	1	1	X	506105695
172512904	72773391	52	M	1	0	X	506102994
172512907	72774855	45	F	1	1	X	506101292
172512910	72774892	52	M	1	0	X	506102067
172670590	72770200	52	F	1	0	X	506097264
172670595	72777894	53	M	1	1	X	506101483
172670597	72777894	20	M	1	2	X	X
172670607	72778222	53	M	1	1	X	506104590
172670608	72778222	52	F	1	0	X	506101633
172709471	72772875	63	F	1	1	X	506100457
172709483	72778863	63	F	1	1	X	506103457
172709484	72778863	68	M	1	0	X	X
172761415	72778623	12	M	1	5	450122221	X
172761416	72778623	13	M	1	5	450122221	X
172761429	72781126	55	F	1	0	X	506096443
172761430	72781126	11	M	1	5	450132407	X
172824575	72772162	70	F	1	0	X	506099034
172858244	72780604	7	F	1	2	450141197	X
172858252	72775379	7	F	1	2	450125488	X
172858262	72768756	32	M	1	0	X	506100725
172858267	72771817	1	M	1	2	X	X
172858268	72771817	7	F	1	2	450141198	X
172858287	72780240	1	M	1	2	X	X
172858288	72780240	7	F	1	2	450116183	X
172858290	72780240	32	M	1	0	X	506098502
172858297	72778968	31	F	1	1	X	506098099
172858307	72772986	1	M	1	2	X	X
172968649	72778512	70	F	1	0	X	X
172968658	72770007	70	F	1	0	X	X
173002842	72768702	45	M	1	1	X	506105672
173002843	72768702	6	F	1	2	450053385	X
173002847	72768599	45	M	1	1	X	506098146
173002849	72768599	16	M	1	2	450063600	X
173002850	72768599	18	M	1	2	450063600	508094858
173002851	72768599	44	F	1	0	X	506107476
173002864	72768459	16	M	1	2	450053385	X
173002865	72768459	18	M	1	2	450053385	506168837
173002866	72768459	44	F	1	0	X	506168805
173002867	72772889	45	M	1	1	X	506105279
173002868	72772889	6	F	1	2	450066968	X
173002869	72772889	16	M	1	2	450063600	X
173002872	72779122	45	M	1	1	X	506099896
173002874	72779122	16	M	1	2	450053385	X
173002875	72779122	18	M	1	2	450053385	506102724
173002876	72779122	44	F	1	0	X	506106524
173002877	72782309	45	M	1	1	X	506097839
173002884	72777970	16	M	1	2	450053385	X
173002903	72779359	6	F	1	2	450053385	X
173002904	72779359	16	M	1	2	450053385	X
173002905	72779359	18	M	1	2	450053385	506105279
173002906	72779359	44	F	1	0	X	506097849
173002914	72777541	16	M	1	2	450053385	X
173002916	72777541	44	F	1	0	X	506102519
173002927	72772754	45	M	1	1	X	506102720
173002930	72772754	18	M	1	2	450063600	506104866
173002931	72772754	44	F	1	0	X	506103221
173002952	72769706	45	M	1	1	X	506095730
173002953	72769706	6	F	1	2	450053385	X
173002954	72769706	16	M	1	2	450053385	X
173002959	72774739	16	M	1	2	450064747	X
173002961	72774739	44	F	1	0	X	506102067
173227616	72780833	48	F	1	0	X	506098042
173227617	72780792	14	F	1	2	450121290	X
173227626	72773098	48	F	1	0	X	506166738
173227639	72773286	14	F	1	2	450141198	X
173227645	72770839	14	F	1	2	450152506	X
173227655	72776615	14	F	1	2	450141198	X
173227663	72776748	14	F	1	2	450141198	X
173227666	72782645	48	F	1	0	X	506097629
173227669	72769330	14	F	1	2	450141198	X
173372270	72779398	70	M	1	1	X	X
173372271	72769042	69	F	1	0	X	X
173372272	72769042	70	M	1	1	X	X
